genre_id,name
0,Зарубежные детские книги
1,Сказки
2,Зарубежная классика
3,Литература 19 века
4,Русская классика
5,Классическая проза
6,Пьесы и драматургия
7,Стихи и поэзия
8,Зарубежная старинная литература
9,Зарубежная драматургия
10,Античная литература
11,Литература 20 века
12,Детские стихи
13,Список школьной литературы 5-6 класс
14,Политология
15,Государственное и муниципальное управление
16,Критика
17,Мистика
18,Детская проза
19,Книги по экономике
20,Список школьной литературы 10-11 класс
21,Список школьной литературы 7-8 класс
22,Книги про вампиров
23,Общая история
24,Литература 18 века
25,Мифы / легенды / эпос
26,Древнерусская литература
27,Публицистика
28,Исторические приключения
29,Зарубежные приключения
30,Зарубежный юмор
31,Юмористическая проза
32,Исторические любовные романы
33,Классические любовные романы
34,Зарубежная образовательная литература
35,Биографии и мемуары
36,Советская литература
37,Книги о войне
38,Книги о путешествиях
39,Зарубежное фэнтези
40,Книги по философии
41,Список школьной литературы 9 класс
42,Героическое фэнтези
43,Зарубежная фантастика
44,Научная фантастика
45,Детские приключения
46,Классика фантастики
47,Морские приключения
48,Русская поэзия
49,Зарубежная поэзия
50,Зарубежные любовные романы
51,Европейская старинная литература
52,История России
53,Зарубежная литература о культуре и искусстве
54,Историческая литература
55,Зарубежные детективы
56,Классические детективы
57,Социальная фантастика
58,Эротические романы
59,Прочая образовательная литература
60,Книги о приключениях
61,Внеклассное чтение
62,Книги для детей
63,Православные молитвы
64,Религиозные тексты
65,Современная русская литература
66,Современные любовные романы
67,Современные детективы
68,Эзотерика / оккультизм
69,Документальная литература
70,Здоровье
71,Религии / верования / культы
72,Детективное фэнтези
73,Юмористическая фантастика
74,Книги про волшебников
75,Космическая фантастика
76,Историческое фэнтези
77,Зарубежная религиозная и эзотерическая литература
78,Развлечения
79,Остросюжетные любовные романы
80,Исторические детективы
81,Классики психологии
82,Боевое фэнтези
83,Спорт / фитнес
84,Зарубежная публицистика
85,Анекдоты
86,Юмористические стихи
87,Привлечение клиентов
88,Просто о бизнесе
89,Банковское дело
90,Зарубежная деловая литература
91,Ценные бумаги / инвестиции
92,Международное право
93,Юриспруденция
94,Саморазвитие / личностный рост
95,Корпоративная культура
96,Медицина
97,Иностранные языки
98,Бухучет / налогообложение / аудит
99,Языкознание
100,Палеонтология
101,Общая биология
102,Энциклопедии
103,Историческая фантастика
104,Боевики
105,Кулинария
106,Рукоделие и ремесла
107,Прикладная литература
108,Триллеры
109,Сделай сам
110,Секс / секс-руководства
111,Природа и животные
112,Техническая литература
113,Домашние животные
114,Современная зарубежная литература
115,Учебная литература
116,Эротическая литература
117,Книги для подростков
118,Детективная фантастика
119,Детские детективы
120,Менеджмент и кадры
121,Социальная психология
122,Изобразительное искусство
123,Шпионские детективы
124,Практическая психология
125,Юмористическое фэнтези
126,Религиоведение / история религий
127,Культурология
128,Юмор и сатира
129,Боевая фантастика
130,Зарубежная прикладная литература
131,Руководства
132,Воспитание детей
133,Зарубежная справочная литература
134,Любовное фэнтези
135,Русское фэнтези
136,Другие словари
137,Справочная литература
138,Общая психология
139,Любовь и отношения
140,Поиск работы / карьера
141,Другие справочники
142,Детская фантастика
143,Детская психология
144,Личные финансы
145,Попаданцы
146,Городское фэнтези
147,Книги о компьютерах
148,Истории успеха
149,Трейдинг
150,Программы
151,Психологическая консультация
152,Психотерапия
153,О психологии популярно
154,Контркультура
155,Любовно-фантастические романы
156,Русская драматургия
157,География
158,Военное дело / спецслужбы
159,Кинематограф / театр
160,Народная и нетрадиционная медицина
161,Альтернативная медицина
162,Героическая фантастика
163,Йога
164,Политические детективы
165,Христианство
166,Сад и огород
167,Малый и средний бизнес
168,Иронические детективы
169,Практическая эзотерика
170,Новейшая история
171,Киберпанк
172,Полицейские детективы
173,Интернет
174,Компьютерное железо
175,ОС и сети
176,Семейная психология
177,Автомобили и ПДД
178,Эндокринология
179,Стимпанк
180,Ужасы
181,Здоровье детей
182,Магические академии
183,Крутой детектив
184,Современное политическое положение
185,Общая химия
186,Делопроизводство
187,Магия / колдовство
188,Криминальные боевики
189,Зарубежная религиозная литература
190,Журнальные издания
191,Зарубежная эзотерическая литература
192,Недвижимость
193,Короткие любовные романы
194,Гадание / толкование снов
195,Математика
196,Афоризмы и цитаты
197,Психологические тренинги
198,Зарубежная психология
199,Фэншуй / фэн-шуй
200,Домашнее хозяйство
201,Рыбалка
202,Путеводители
203,Управление персоналом
204,Иудаизм
205,Строительные материалы
206,Работа с клиентами
207,Отраслевые издания
208,Астрология
209,Автотранспорт
210,Богословие
211,Фэнтези про драконов
212,Духовная литература
213,Классика фэнтези
214,Священное Писание
215,Состояния и явления психики
216,Психиатрия
217,Гражданское право
218,Парапсихология
219,Педагогика
220,Нормативные правовые акты
221,Ремонт в квартире
222,Литературные журналы
223,Психологические тесты
224,Управление бизнесом
225,Физика
226,Искусствоведение
227,Этнография
228,История Древнего мира
229,Атомная энергетика
230,Гастроэнтерология
231,История философии
232,Научно-популярная литература
233,Нейробиология
234,Литературоведение
235,Микроэкономика
236,Переговоры
237,Успешные переговоры
238,Вестерны
239,Цирк
240,Правоведение
241,Экономическое развитие
242,Английский язык
243,НЛП
244,Офтальмология
245,Бизнес-процессы
246,Естествознание
247,Генетика
248,Архитектура
249,Личная эффективность
250,История искусства
251,Фармакология
252,Православие
253,Национальная политика
254,Древневосточная литература
255,Тайм-менеджмент
256,Интернет-бизнес
257,Интернет-маркетинг
258,Монографии
259,Уголовное право
260,Криминология
261,Внешнеэкономическая деятельность
262,Популярно об истории
263,Психоанализ
264,Учебники и пособия для вузов
265,Истории из жизни
266,Паломничество
267,Учебно-методические пособия (методички)
268,Христианское искусство
269,Легкая проза
270,Бизнес-стратегии
271,Строительные конструкции
272,Клиническая психология
273,Зарубежная компьютерная литература
274,Программирование
275,Лидерство
276,Мотивация
277,Основы психологии
278,Логистика
279,Учебные программы
280,Интеллектуальные игры
281,Музыка
282,Археология
283,Мировая экономика
284,История права
285,Ботаника
286,Дизайн
287,Логика
288,Возрастная психология
289,Теория государства и права
290,Социология
291,Криминалистика
292,Книги для дошкольников
293,Животноводство
294,Психология управления
295,Астрономия
296,Акушерство и гинекология
297,Трудовое право
298,Эротическое фэнтези
299,Православные традиции
300,Наркология
301,Ораторское искусство / риторика
302,История Средних веков
303,Бюджетирование
304,Зоология
305,Косметика и косметология
306,Охота
307,Телевидение
308,Геронтология
309,Русский язык
310,Нейропсихология
311,Житийная литература
312,Православие для детей
313,Парикмахерское дело
314,Всемирная история
315,Хронология
316,Похудение и диеты
317,Легкая промышленность
318,Креатив / идеи
319,Информационная безопасность
320,Тибетский буддизм
321,История психологии
322,Вероучения в буддизме
323,Гигиена
324,Земельное право
325,Налоговое право
326,Мода и стиль
327,Жилищный кодекс РФ
328,Брендинг
329,Базы данных
330,Административное право
331,Гражданское процессуальное право
332,Соционика
333,Здоровое и правильное питание
334,Налоговый кодекс РФ
335,Стоматология
336,Адвокатура
337,Конституционное право
338,Предпринимательское право
339,Экология
340,Техника продаж
341,Хирургия
342,Таможенное право
343,Клиническая медицина
344,Земельный кодекс РФ
345,Дзэн-буддизм
346,Семейное право
347,Коучинг
348,Популярно о медицине
349,Французский язык
350,Индийские религии
351,Хобби / увлечения
352,Военное дело
353,Паразитология
354,Этика
355,Современные религиозные течения
356,Кардиология
357,Стратегический менеджмент
358,Школьные методические пособия
359,Школьные учебники по русскому языку
360,Зарубежные боевики
361,Итальянский язык
362,Сельское хозяйство
363,Православные календари
364,Антропология
365,Неврология
366,Чтение 3 класс
367,Гендерные различия
368,Школьные учебники по чистописанию
369,Социальная философия
370,Школьные учебники по обществознанию
371,Популярные справочники
372,Реклама
373,Спиритизм / пророчества / предсказания
374,Фольклор
375,Детская познавательная и развивающая литература
376,Православная медицина
377,Управление продажами
378,Метафизика
379,Дерматология
380,Архивное дело
381,Развитие психики
382,Транзакционный анализ
383,Воскресная школа
384,Общая экономическая теория
385,Коммерческое право
386,Поиск и подбор персонала
387,Советы от гуру
388,Рыбное хозяйство
389,Уголовно-процессуальное право
390,Судебное право
391,Военное право
392,Ортопедия и травматология
393,Российская практика
394,Уголовно-исполнительное право
395,Органы юстиции
396,Внутренняя политика
397,Законы и постановления
398,Разговорники
399,Геология
400,Муниципальное право
401,История экономики
402,Внешняя политика
403,Клиентский сервис
404,Онкология
405,MBA
406,Интерьеры
407,Православные каноны
408,История православной церкви
409,Терминологические словари
410,Старинная литература
411,Литература 10 класс
412,Безопасность жизнедеятельности
413,Информатика и вычислительная техника
414,Трудовой кодекс РФ
415,Немецкий язык
416,Энциклопедические словари
417,Кризисное управление
418,ЕГЭ по обществознанию
419,Отраслевая психология
420,Радиотехника
421,Электрическая связь
422,Ислам / мусульманство
423,Анатомия и физиология
424,Управление маркетингом
425,Стратегия маркетинга
426,Маркетинг для новичков
427,Маркетинговые исследования и анализ
428,PR
429,Сборники
430,Металлургия
431,Русский язык как иностранный
432,Новое время
433,Задачники
434,Практикумы
435,Классика менеджмента
436,Конфликты
437,Риски
438,Агрохимия
439,Политические партии
440,Отдых / туризм
441,Привлечение инвестиций
442,Организационный менеджмент
443,Лояльность
444,Растениеводство
445,Эротические рассказы и истории
446,Коран / пророки
447,Радиолокация
448,Опера / балет
449,Газеты
450,Искусство фотографии
451,Микробиология
452,Ветеринария
453,Уголовный кодекс РФ
454,Управление ассортиментом
455,Фармация
456,Механика
457,Материаловедение
458,Библиография
459,Испанский язык
460,Эстетика
461,Тимбилдинг
462,Стартапы и создание бизнеса
463,Отношения с клиентами
464,Литература 11 класс
465,Литература 9 класс
466,Литература 5 класс
467,Литература 6 класс
468,Языковые словари
469,Педиатрия и неонатология
470,Литература 7 класс
471,Литература 8 класс
472,Финансовое право
473,Польский язык
474,Электроэнергетика
475,Издательское дело
476,ЕГЭ по русскому языку
477,Учебники и пособия для ссузов
478,Управление качеством
479,Самоучители
480,Основы строительства
481,Отдельные виды строительства
482,Общая патология
483,Воздушный транспорт
484,Финансовые инструменты
485,Экономика развитых стран
486,Арбитражное процессуальное право
487,Инновации в бизнесе
488,Project-менеджмент
489,Классика приключенческой литературы
490,Школьные учебники по чтению
491,Архитектурные конструкции
492,Проектирование
493,Проектирование в строительстве
494,Эротика ЛГБТ
495,Анестезиология
496,Реаниматология
497,Толковые словари
498,Эффективность бизнеса
499,Копирайтинг
500,Прикладные отрасли медицины
501,Акционерное право
502,Аттестация персонала
503,Нормативная документация
504,Эксплуатация промышленного оборудования
505,Управление экономикой
506,Гражданский кодекс РФ
507,История политических учений
508,Работа с долгами
509,Даосизм / конфуцианство
510,Биохимия
511,Макроэкономика
512,Фанфик
513,Классический маркетинг
514,Физкультура и спорт
515,Комиксы / манга
516,Бытовые справочники
517,ЕГЭ по истории
518,Школьные учебники по истории
519,Учебные справочники
520,Учебники по психологии
521,Железнодорожный транспорт
522,Бизнес-план
523,Отраслевая и межотраслевая экономика
524,Благоустройство территории
525,Источниковедение
526,Финансовый менеджмент
527,Оториноларингология
528,Эффективная презентация
529,Научно-популярные журналы
530,Буквари
531,Уголовно-процессуальный кодекс РФ
532,Компьютерная справочная литература
533,Памятники истории и культуры
534,Бизнес-справочники
535,Материалы конференций
536,Выход из бизнеса
537,Молитвы в исламе
538,Партизанский маркетинг
539,Научные справочники
540,Экономический анализ
541,Производство птицы
542,Электроника
543,Forex
544,Экономика развивающихся стран
545,Научные доклады
546,Консалтинг
547,Космический транспорт
548,Директ-маркетинг
549,История экономических учений
550,Токсикология
551,Иммунология и аллергология
552,Эпидемиология
553,Музеи и коллекции
554,Танцы
555,Корпоративные финансы
556,СМИ
557,Первобытное общество
558,Технический анализ
559,Машиностроение
560,Безалкогольные напитки
561,ЕГЭ по иностранному языку
562,Cемья
563,дети
564,воспитание
565,Психология
566,Личная эффективность / продуктивность
567,Маркетинг и реклама
568,Переговоры и продажи
569,Управление персоналом и лидерство
570,Истории успеха и биографии
571,Здоровый образ жизни / фитнес
572,Наука и технологии
573,Бизнес-процессы / инновации
574,Финансы
575,инвестиции
576,экономика
577,Экономическая статистика
578,Школьные учебники по биологии
579,Вирусология
580,IT-менеджмент
581,Пищевое производство
582,Холодные продажи
583,Японский менеджмент
584,Научно-практические журналы
585,ГИА по истории (ОГЭ
586,ГВЭ)
587,Конституция РФ
588,Документы
589,жалобы
590,образцы
591,Производственный менеджмент
592,Акафисты
593,ГИА по биологии (ОГЭ
594,ЕГЭ по биологии
595,ГИА по литературе (ОГЭ
596,ЕГЭ по литературе
597,Школьные учебники по литературе
598,ГИА по обществознанию (ОГЭ
599,Политическое управление
600,Альманахи
601,Книги для священнослужителей
602,Католицизм
603,Дистрибуция
604,Прически / уход за волосами
605,Математика 2 класс
606,Математика 1 класс
607,Русский язык 1 класс
608,Бизнес-журналы
609,Юридические журналы
610,Событийный маркетинг
611,Русский язык 2 класс
612,Русский язык 3 класс
613,Русский язык 4 класс
614,География 7 класс
615,Обществознание 10 класс
616,Обществознание 11 класс
617,Обществознание 9 класс
618,Орфографические словари
619,Биографические справочники
620,Чтение 4 класс
621,Математика 3 класс
622,Рабочие тетради / прописи
623,Урология и нефрология
624,Общественное питание
625,Водный транспорт
626,Школьные учебники по французскому языку
627,Социокультурная деятельность
628,Научная литература по психологии
629,Мерчендайзинг
630,Бродильные производства
631,ГИА по географии (ОГЭ
632,География 9 класс
633,ГИА по иностранному языку (ОГЭ
634,Иностранный язык 9 класс
635,Школьные учебники по английскому языку
636,Биология 9 класс
637,ГИА по химии (ОГЭ
638,Химия 9 класс
639,Школьные учебники по музыке
